Modelo,Categoria,FraseID,Texto,NumPalavras,Latência (s),WER,Transcrição Whisper,Arquivo,Status
XTTS,curtas_objetivas,curtas_objetivas_04,Hoje o céu está limpo.,5,7.827,0.0,hoje o céu está limpo.,audios_tcc/xtts_curtas_objetivas_curtas_objetivas_04.wav,OK
Piper,curtas_objetivas,curtas_objetivas_05,Maria chegou cedo.,3,0.204,0.3333,maria chegou o cedo.,audios_tcc/piper_curtas_objetivas_curtas_objetivas_05.wav,OK
Kokoro,curtas_objetivas,curtas_objetivas_05,Maria chegou cedo.,3,1.679,0.3333,maria chegou o cedo.,audios_tcc/kokoro_curtas_objetivas_curtas_objetivas_05.wav,OK
XTTS,curtas_objetivas,curtas_objetivas_05,Maria chegou cedo.,3,7.349,0.3333,maria chegou o cedo.,audios_tcc/xtts_curtas_objetivas_curtas_objetivas_05.wav,OK
Piper,curtas_objetivas,curtas_objetivas_06,O arquivo foi salvo.,4,0.296,0.0,o arquivo foi salvo.,audios_tcc/piper_curtas_objetivas_curtas_objetivas_06.wav,OK
Kokoro,curtas_objetivas,curtas_objetivas_06,O arquivo foi salvo.,4,1.451,0.0,o arquivo foi salvo.,audios_tcc/kokoro_curtas_objetivas_curtas_objetivas_06.wav,OK
XTTS,curtas_objetivas,curtas_objetivas_06,O arquivo foi salvo.,4,9.171,0.0,o arquivo foi salvo.,audios_tcc/xtts_curtas_objetivas_curtas_objetivas_06.wav,OK
Piper,curtas_objetivas,curtas_objetivas_07,A aula começa agora.,4,0.215,0.0,a aula começa agora.,audios_tcc/piper_curtas_objetivas_curtas_objetivas_07.wav,OK
Kokoro,curtas_objetivas,curtas_objetivas_07,A aula começa agora.,4,1.453,0.0,a aula começa agora.,audios_tcc/kokoro_curtas_objetivas_curtas_objetivas_07.wav,OK
XTTS,curtas_objetivas,curtas_objetivas_07,A aula começa agora.,4,8.389,0.0,a aula começa agora.,audios_tcc/xtts_curtas_objetivas_curtas_objetivas_07.wav,OK
Piper,curtas_objetivas,curtas_objetivas_08,Este teste foi concluído.,4,0.259,0.25,esse teste foi concluído.,audios_tcc/piper_curtas_objetivas_curtas_objetivas_08.wav,OK
Kokoro,curtas_objetivas,curtas_objetivas_08,Este teste foi concluído.,4,1.887,0.0,este teste foi concluído.,audios_tcc/kokoro_curtas_objetivas_curtas_objetivas_08.wav,OK
XTTS,curtas_objetivas,curtas_objetivas_08,Este teste foi concluído.,4,9.017,0.0,este teste foi concluído.,audios_tcc/xtts_curtas_objetivas_curtas_objetivas_08.wav,OK
Piper,curtas_objetivas,curtas_objetivas_09,O microfone está ligado.,4,0.22,0.0,o microfone está ligado.,audios_tcc/piper_curtas_objetivas_curtas_objetivas_09.wav,OK
Kokoro,curtas_objetivas,curtas_objetivas_09,O microfone está ligado.,4,1.672,0.0,o microfone está ligado.,audios_tcc/kokoro_curtas_objetivas_curtas_objetivas_09.wav,OK
XTTS,curtas_objetivas,curtas_objetivas_09,O microfone está ligado.,4,11.855,0.25,o microfone está ligado. ponto.,audios_tcc/xtts_curtas_objetivas_curtas_objetivas_09.wav,OK
Piper,curtas_objetivas,curtas_objetivas_10,A conexão voltou ao normal.,5,0.264,0.0,a conexão voltou ao normal.,audios_tcc/piper_curtas_objetivas_curtas_objetivas_10.wav,OK
Kokoro,curtas_objetivas,curtas_objetivas_10,A conexão voltou ao normal.,5,2.139,0.2,a conexão volto ao normal.,audios_tcc/kokoro_curtas_objetivas_curtas_objetivas_10.wav,OK
XTTS,curtas_objetivas,curtas_objetivas_10,A conexão voltou ao normal.,5,9.595,0.0,a conexão voltou ao normal.,audios_tcc/xtts_curtas_objetivas_curtas_objetivas_10.wav,OK
Piper,medias_informativas,medias_informativas_01,O projeto foi desenvolvido para avaliar modelos de síntese de voz em português brasileiro.,14,0.591,0.0714,o projeto foi desenvolvido para avaliar modelos de síntese e de voz em português brasileiro.,audios_tcc/piper_medias_informativas_medias_informativas_01.wav,OK
Kokoro,medias_informativas,medias_informativas_01,O projeto foi desenvolvido para avaliar modelos de síntese de voz em português brasileiro.,14,5.061,0.2143,o projeto foi desenvolvido para avaliar modelos de cintas e divós em português brasileiro.,audios_tcc/kokoro_medias_informativas_medias_informativas_01.wav,OK
XTTS,medias_informativas,medias_informativas_01,O projeto foi desenvolvido para avaliar modelos de síntese de voz em português brasileiro.,14,28.891,0.2143,o projeto foi desenvolvido para avaliar modelos de cintes e de voz em português brasileiro. ponto.,audios_tcc/xtts_medias_informativas_medias_informativas_01.wav,OK
Piper,medias_informativas,medias_informativas_02,A equipe registrou os resultados de latência e inteligibilidade em uma planilha compartilhada.,13,0.701,0.0769,a equipe registou os resultados de latência e inteligibilidade em uma planilha compartilhada.,audios_tcc/piper_medias_informativas_medias_informativas_02.wav,OK
Kokoro,medias_informativas,medias_informativas_02,A equipe registrou os resultados de latência e inteligibilidade em uma planilha compartilhada.,13,5.198,0.0,a equipe registrou os resultados de latência e inteligibilidade em uma planilha compartilhada.,audios_tcc/kokoro_medias_informativas_medias_informativas_02.wav,OK
XTTS,medias_informativas,medias_informativas_02,A equipe registrou os resultados de latência e inteligibilidade em uma planilha compartilhada.,13,35.414,0.0769,a equipe registrou os resultados de latência e inteligibilidade em uma planilha compartilhada.com.,audios_tcc/xtts_medias_informativas_medias_informativas_02.wav,OK
Piper,medias_informativas,medias_informativas_03,"O usuário pode ouvir o áudio gerado diretamente no navegador, sem instalar programas adicionais.",14,0.693,0.0,"o usuário pode ouvir o áudio gerado diretamente no navegador, sem instalar programas adicionais.",audios_tcc/piper_medias_informativas_medias_informativas_03.wav,OK
Kokoro,medias_informativas,medias_informativas_03,"O usuário pode ouvir o áudio gerado diretamente no navegador, sem instalar programas adicionais.",14,5.72,0.0,"o usuário pode ouvir o áudio gerado diretamente no navegador, sem instalar programas adicionais.",audios_tcc/kokoro_medias_informativas_medias_informativas_03.wav,OK
XTTS,medias_informativas,medias_informativas_03,"O usuário pode ouvir o áudio gerado diretamente no navegador, sem instalar programas adicionais.",14,24.621,0.0714,"o usuário pode ouvir o áudio gerado diretamente no navegador, sem instalar programas adicionais.ua.",audios_tcc/xtts_medias_informativas_medias_informativas_03.wav,OK
Piper,medias_informativas,medias_informativas_04,"A análise comparativa considera tempo de resposta, clareza da fala e custo computacional.",13,0.672,0.1538,"a análise comparativa considera a tempo de resposta, a clareza da fala e custo computacional.",audios_tcc/piper_medias_informativas_medias_informativas_04.wav,OK
Kokoro,medias_informativas,medias_informativas_04,"A análise comparativa considera tempo de resposta, clareza da fala e custo computacional.",13,4.9,0.0,"a análise comparativa considera tempo de resposta, clareza da fala e custo computacional.",audios_tcc/kokoro_medias_informativas_medias_informativas_04.wav,OK
XTTS,medias_informativas,medias_informativas_04,"A análise comparativa considera tempo de resposta, clareza da fala e custo computacional.",13,30.34,0.0769,"a análise comparativa considera tempo de resposta, clareza da fala e custo computacional.org.",audios_tcc/xtts_medias_informativas_medias_informativas_04.wav,OK
Piper,medias_informativas,medias_informativas_05,O experimento foi executado em ambiente controlado para reduzir variações entre os modelos.,13,0.61,0.0,o experimento foi executado em ambiente controlado para reduzir variações entre os modelos.,audios_tcc/piper_medias_informativas_medias_informativas_05.wav,OK
Kokoro,medias_informativas,medias_informativas_05,O experimento foi executado em ambiente controlado para reduzir variações entre os modelos.,13,5.135,0.0,o experimento foi executado em ambiente controlado para reduzir variações entre os modelos.,audios_tcc/kokoro_medias_informativas_medias_informativas_05.wav,OK
XTTS,medias_informativas,medias_informativas_05,O experimento foi executado em ambiente controlado para reduzir variações entre os modelos.,13,21.777,0.1538,o experimento foi executado em ambiente controlado para reduzir variações entre os modelos ponto.,audios_tcc/xtts_medias_informativas_medias_informativas_05.wav,OK
Piper,medias_informativas,medias_informativas_06,Cada frase foi sintetizada com os mesmos parâmetros sempre que isso foi tecnicamente possível.,14,0.628,0.4286,"cada frase foi sintetizada com os mesmos para a meto sem pique, isso foi técnicamente possível.",audios_tcc/piper_medias_informativas_medias_informativas_06.wav,OK
Kokoro,medias_informativas,medias_informativas_06,Cada frase foi sintetizada com os mesmos parâmetros sempre que isso foi tecnicamente possível.,14,5.426,0.0714,"cada frase foi sintetizada com os mesmos parâmetros, sempre que isso foi tecnicamente possível.",audios_tcc/kokoro_medias_informativas_medias_informativas_06.wav,OK
XTTS,medias_informativas,medias_informativas_06,Cada frase foi sintetizada com os mesmos parâmetros sempre que isso foi tecnicamente possível.,14,26.663,0.1429,"cada frase foi sintetizada com os mesmos parâmetros, sempre que isso foi técnicamente possível.",audios_tcc/xtts_medias_informativas_medias_informativas_06.wav,OK
Piper,medias_informativas,medias_informativas_07,Os dados coletados permitem discutir vantagens práticas de cada abordagem de TTS.,12,0.607,0.0,os dados coletados permitem discutir vantagens práticas de cada abordagem de tts.,audios_tcc/piper_medias_informativas_medias_informativas_07.wav,OK
Kokoro,medias_informativas,medias_informativas_07,Os dados coletados permitem discutir vantagens práticas de cada abordagem de TTS.,12,4.997,0.0,os dados coletados permitem discutir vantagens práticas de cada abordagem de tts.,audios_tcc/kokoro_medias_informativas_medias_informativas_07.wav,OK
XTTS,medias_informativas,medias_informativas_07,Os dados coletados permitem discutir vantagens práticas de cada abordagem de TTS.,12,38.621,0.1667,os dados coletados permitem discutir vantagem práticas de cada abordagem de tts.pontupon.,audios_tcc/xtts_medias_informativas_medias_informativas_07.wav,OK
Piper,medias_informativas,medias_informativas_08,O corpus inclui frases com estruturas simples e complexas para ampliar a cobertura linguística.,14,0.643,0.1429,o corpos inclui fases com estruturas simples e complexas para ampliar a cobertura linguística.,audios_tcc/piper_medias_informativas_medias_informativas_08.wav,OK
Kokoro,medias_informativas,medias_informativas_08,O corpus inclui frases com estruturas simples e complexas para ampliar a cobertura linguística.,14,5.323,0.0714,o corpos inclui frases com estruturas simples e complexas para ampliar a cobertura linguística.,audios_tcc/kokoro_medias_informativas_medias_informativas_08.wav,OK
XTTS,medias_informativas,medias_informativas_08,O corpus inclui frases com estruturas simples e complexas para ampliar a cobertura linguística.,14,51.609,0.4286,"o corpos inclui frases com estruturas simples e complexas para ampliar a cobertura linguística.bota.br. bérquanto não, de .s.",audios_tcc/xtts_medias_informativas_medias_informativas_08.wav,OK
Piper,medias_informativas,medias_informativas_09,Os resultados foram organizados por categoria para facilitar a interpretação posterior.,11,0.736,0.0,os resultados foram organizados por categoria para facilitar a interpretação posterior.,audios_tcc/piper_medias_informativas_medias_informativas_09.wav,OK
Kokoro,medias_informativas,medias_informativas_09,Os resultados foram organizados por categoria para facilitar a interpretação posterior.,11,4.685,0.0,os resultados foram organizados por categoria para facilitar a interpretação posterior.,audios_tcc/kokoro_medias_informativas_medias_informativas_09.wav,OK
XTTS,medias_informativas,medias_informativas_09,Os resultados foram organizados por categoria para facilitar a interpretação posterior.,11,27.706,0.0909,os resultados foram organizados por categoria para facilitar a interpretação posterior.b.,audios_tcc/xtts_medias_informativas_medias_informativas_09.wav,OK
Piper,medias_informativas,medias_informativas_10,A metodologia prioriza modelos abertos e acessíveis para uso acadêmico e social.,12,0.578,0.0,a metodologia prioriza modelos abertos e acessíveis para uso acadêmico e social.,audios_tcc/piper_medias_informativas_medias_informativas_10.wav,OK
Kokoro,medias_informativas,medias_informativas_10,A metodologia prioriza modelos abertos e acessíveis para uso acadêmico e social.,12,4.507,0.0,a metodologia prioriza modelos abertos e acessíveis para uso acadêmico e social.,audios_tcc/kokoro_medias_informativas_medias_informativas_10.wav,OK
XTTS,medias_informativas,medias_informativas_10,A metodologia prioriza modelos abertos e acessíveis para uso acadêmico e social.,12,24.009,0.0833,a metodologia prioriza modelos abertos e acessíveis para o uso acadêmico e social.,audios_tcc/xtts_medias_informativas_medias_informativas_10.wav,OK
Piper,longas_narrativas,longas_narrativas_01,"Durante a execução do experimento, observou-se que modelos mais leves tendem a responder com maior rapidez, embora nem sempre ofereçam o mesmo nível de naturalidade percebida em textos mais extensos.",30,1.3,0.1,"durante a execução do exprimento, observou os que modelos mais leves tendem a responder com maior rapidez, embora nem sempre ofereçam o mesmo nível de naturalidade percebida em textos mais extensos.",audios_tcc/piper_longas_narrativas_longas_narrativas_01.wav,OK
Kokoro,longas_narrativas,longas_narrativas_01,"Durante a execução do experimento, observou-se que modelos mais leves tendem a responder com maior rapidez, embora nem sempre ofereçam o mesmo nível de naturalidade percebida em textos mais extensos.",30,11.147,0.0333,"durante a execução do experimento, observou-se que modelos mais leves tendem a responder com maior rapidez. embora nem sempre ofereçam o mesmo nível de naturalidade percebida em textos mais extensos.",audios_tcc/kokoro_longas_narrativas_longas_narrativas_01.wav,OK
XTTS,longas_narrativas,longas_narrativas_01,"Durante a execução do experimento, observou-se que modelos mais leves tendem a responder com maior rapidez, embora nem sempre ofereçam o mesmo nível de naturalidade percebida em textos mais extensos.",30,64.487,0.1,"durante a execução do experimento, observou-se que modelos mais leves tendem a responder com maior rapidez. embora nem sempre ofereçam o mesmo nível de naturalidade percebida em textos mais extensos pontos.",audios_tcc/xtts_longas_narrativas_longas_narrativas_01.wav,OK
Piper,longas_narrativas,longas_narrativas_02,"Em um cenário de acessibilidade informacional, a escolha de um sistema de síntese de voz deve considerar não apenas a qualidade sonora, mas também a viabilidade de uso em equipamentos simples e contextos offline.",34,1.475,0.0882,"em um cenário de acessibilidade internacional, a escolha de um sistema de cintas e de voz deve considerar não apenas a qualidade sonora, mas também a viabilidade de uso em equipamentos simples e contextos offline.",audios_tcc/piper_longas_narrativas_longas_narrativas_02.wav,OK
Kokoro,longas_narrativas,longas_narrativas_02,"Em um cenário de acessibilidade informacional, a escolha de um sistema de síntese de voz deve considerar não apenas a qualidade sonora, mas também a viabilidade de uso em equipamentos simples e contextos offline.",34,11.66,0.0588,"em um cenário de acessibilidade informacional, a escolha de um sistema de cintez e de voz deve considerar não apenas a qualidade sonora, mas também a viabilidade de uso em equipamentos simples e contextos offline.",audios_tcc/kokoro_longas_narrativas_longas_narrativas_02.wav,OK
XTTS,longas_narrativas,longas_narrativas_02,"Em um cenário de acessibilidade informacional, a escolha de um sistema de síntese de voz deve considerar não apenas a qualidade sonora, mas também a viabilidade de uso em equipamentos simples e contextos offline.",34,68.168,0.0588,"em um cenário de acessibilidade informacional, a escolha de um sistema de cintez e de voz deve considerar não apenas a qualidade sonora, mas também a viabilidade de uso em equipamentos simples e contextos offline.",audios_tcc/xtts_longas_narrativas_longas_narrativas_02.wav,OK
Piper,longas_narrativas,longas_narrativas_03,"Ao comparar diferentes arquiteturas de TTS, torna-se possível identificar compromissos entre velocidade de geração, inteligibilidade da saída, naturalidade da prosódia e capacidade de personalização da voz.",26,1.607,0.0769,"ao comparar diferentes arquiteturas de tts, ordens se possível identificar compromissos entre velocidade de geração, inteligibilidade da saída, naturalidade da prosódia e capacidade de personalização da voz.",audios_tcc/piper_longas_narrativas_longas_narrativas_03.wav,OK
Kokoro,longas_narrativas,longas_narrativas_03,"Ao comparar diferentes arquiteturas de TTS, torna-se possível identificar compromissos entre velocidade de geração, inteligibilidade da saída, naturalidade da prosódia e capacidade de personalização da voz.",26,12.557,0.0385,"ao comparar diferentes arquiteturas de tts, torna-se possível identificar compromissos entre velocidade de geração, intelizibilidade da saída, naturalidade da prosódia e capacidade de personalização da voz.",audios_tcc/kokoro_longas_narrativas_longas_narrativas_03.wav,OK
XTTS,longas_narrativas,longas_narrativas_03,"Ao comparar diferentes arquiteturas de TTS, torna-se possível identificar compromissos entre velocidade de geração, inteligibilidade da saída, naturalidade da prosódia e capacidade de personalização da voz.",26,75.102,0.0385,"ao comparar diferentes arquiteturas de tts, torna-se possível identificar compromissos entre velocidade de geração, inteligibilidade da saída, naturalidade da prosódia e capacidade de personalização da voz.com.",audios_tcc/xtts_longas_narrativas_longas_narrativas_03.wav,OK
Piper,longas_narrativas,longas_narrativas_04,"O corpus foi planejado para incluir frases curtas, médias e longas, além de exemplos com números, datas, nomes próprios e palavras estrangeiras, de modo a ampliar a robustez da avaliação.",30,1.391,0.1667,"o corpos foi planejado para incluir fases curtas, médias e longas, além de exemplos com números, datas, nomes próprios e palavras estrangeiras, de moda ampliar a robustês da avaliação.",audios_tcc/piper_longas_narrativas_longas_narrativas_04.wav,OK
Kokoro,longas_narrativas,longas_narrativas_04,"O corpus foi planejado para incluir frases curtas, médias e longas, além de exemplos com números, datas, nomes próprios e palavras estrangeiras, de modo a ampliar a robustez da avaliação.",30,10.486,0.0667,"o corpos foi planejado para incluir frases curtas, medias e longas, além de exemplos com números, datas, nomes próprios e palavras estrangeiras, de modo a ampliar a robustez da avaliação.",audios_tcc/kokoro_longas_narrativas_longas_narrativas_04.wav,OK
XTTS,longas_narrativas,longas_narrativas_04,"O corpus foi planejado para incluir frases curtas, médias e longas, além de exemplos com números, datas, nomes próprios e palavras estrangeiras, de modo a ampliar a robustez da avaliação.",30,70.66,0.1333,"o corpos foi planejado para incluir frases curtas, medias e longas. além de exemplos com números, datas, nomes próprios e palavras estrangeiras, de modo a ampliar a robustez da avaliação.org.",audios_tcc/xtts_longas_narrativas_longas_narrativas_04.wav,OK
Piper,longas_narrativas,longas_narrativas_05,"Embora os resultados quantitativos sejam importantes, a interpretação qualitativa continua sendo essencial, especialmente quando o objetivo do projeto envolve experiência do usuário e acessibilidade prática.",25,1.413,0.08,"embora os resultados contitativos sejam importantes, a interpretação qualitativa continua sendo essencial, especialmente quando o objetivo do projeto envolve experiência do usuário e a acessibilidade prática.",audios_tcc/piper_longas_narrativas_longas_narrativas_05.wav,OK
Kokoro,longas_narrativas,longas_narrativas_05,"Embora os resultados quantitativos sejam importantes, a interpretação qualitativa continua sendo essencial, especialmente quando o objetivo do projeto envolve experiência do usuário e acessibilidade prática.",25,12.048,0.04,"embora os resultados quantitativos sejam importantes, a interpretação qualitativa continua sendo essencial, especialmente quando o objetivo do projeto envolve experiência do usuário e a acessibilidade prática.",audios_tcc/kokoro_longas_narrativas_longas_narrativas_05.wav,OK
XTTS,longas_narrativas,longas_narrativas_05,"Embora os resultados quantitativos sejam importantes, a interpretação qualitativa continua sendo essencial, especialmente quando o objetivo do projeto envolve experiência do usuário e acessibilidade prática.",25,69.602,0.08,"embora os resultados quantitativos sejam importantes, a interpretação qualitativa continua sendo essencial, especialmente quando o objetivo do projeto envolve experiência do usuário e a sensibilidade prática.",audios_tcc/xtts_longas_narrativas_longas_narrativas_05.wav,OK
Piper,longas_narrativas,longas_narrativas_06,"A literatura recente mostra avanços significativos em modelos neurais de síntese de voz, mas ainda existe uma diferença relevante entre desempenho laboratorial e adoção em contextos cotidianos de uso.",29,1.377,0.1034,"a literatura recente mostra avanço significativos em modelos neurais de cintes e de voz, mas ainda existe uma diferença relevante entre desempenho laboratorial e adoção em contextos cotidianos de uso.",audios_tcc/piper_longas_narrativas_longas_narrativas_06.wav,OK
Kokoro,longas_narrativas,longas_narrativas_06,"A literatura recente mostra avanços significativos em modelos neurais de síntese de voz, mas ainda existe uma diferença relevante entre desempenho laboratorial e adoção em contextos cotidianos de uso.",29,12.264,0.0,"a literatura recente mostra avanços significativos em modelos neurais de síntese de voz, mas ainda existe uma diferença relevante entre desempenho laboratorial e adoção em contextos cotidianos de uso.",audios_tcc/kokoro_longas_narrativas_longas_narrativas_06.wav,OK
XTTS,longas_narrativas,longas_narrativas_06,"A literatura recente mostra avanços significativos em modelos neurais de síntese de voz, mas ainda existe uma diferença relevante entre desempenho laboratorial e adoção em contextos cotidianos de uso.",29,66.223,0.1034,"a literatura recente mostra avanço significativos em modelos neurais de cintes e de voz, mas ainda existe uma diferença relevante entre desempenho laboratorial e adoção em contextos cotidianos de uso.",audios_tcc/xtts_longas_narrativas_longas_narrativas_06.wav,OK
Piper,longas_narrativas,longas_narrativas_07,"Em aplicações educacionais e assistivas, um modelo de TTS precisa manter clareza suficiente para leituras prolongadas, evitando fadiga auditiva e favorecendo compreensão contínua do conteúdo apresentado.",26,1.732,0.0385,"em aplicações educacionais e assistivas, um modelo de tts precisa manter clareza suficiente para leituras prolongadas, evitando fadega auditiva e favorecendo compreensão contínua do conteúdo apresentado.",audios_tcc/piper_longas_narrativas_longas_narrativas_07.wav,OK
Kokoro,longas_narrativas,longas_narrativas_07,"Em aplicações educacionais e assistivas, um modelo de TTS precisa manter clareza suficiente para leituras prolongadas, evitando fadiga auditiva e favorecendo compreensão contínua do conteúdo apresentado.",26,12.263,0.0769,"em aplicações educacionais e assistivas, o modelo de tts precisa manter clareza suficiente para leituras prolongadas, evitando fadiga auditiva e favorecendo compreensão continua do conteúdo apresentado.",audios_tcc/kokoro_longas_narrativas_longas_narrativas_07.wav,OK
XTTS,longas_narrativas,longas_narrativas_07,"Em aplicações educacionais e assistivas, um modelo de TTS precisa manter clareza suficiente para leituras prolongadas, evitando fadiga auditiva e favorecendo compreensão contínua do conteúdo apresentado.",26,77.45,0.0385,"em aplicações educacionais e assistivas, um modelo de tts precisa manter clareza suficiente para leituras prolongadas, evitando fadiga auditiva e favorecendo compreensão continuo do conteúdo apresentado.",audios_tcc/xtts_longas_narrativas_longas_narrativas_07.wav,OK
Piper,longas_narrativas,longas_narrativas_08,"A possibilidade de reexecutar o experimento em notebook reprodutível fortalece a confiabilidade metodológica do trabalho, pois permite validação independente por parte da banca examinadora.",24,1.207,0.2083,"a possibilidade de executar o spmeto em notebook reproduitivo fortalece a confiabilidade metodológica do trabalho, ou permite validação independente por parte da banta examinadora.",audios_tcc/piper_longas_narrativas_longas_narrativas_08.wav,OK
Kokoro,longas_narrativas,longas_narrativas_08,"A possibilidade de reexecutar o experimento em notebook reprodutível fortalece a confiabilidade metodológica do trabalho, pois permite validação independente por parte da banca examinadora.",24,10.87,0.0833,"a possibilidade de executar o experimento em notebook reproducível fortalece a confiabilidade metodológica do trabalho, pois permite validação independente por parte da banca examinadora.",audios_tcc/kokoro_longas_narrativas_longas_narrativas_08.wav,OK
XTTS,longas_narrativas,longas_narrativas_08,"A possibilidade de reexecutar o experimento em notebook reprodutível fortalece a confiabilidade metodológica do trabalho, pois permite validação independente por parte da banca examinadora.",24,69.692,0.0833,"a possibilidade de executar o experimento em notebook reproducível fortalece a confiabilidade metodológica do trabalho, pois permite validação independente por parte da banca examinadora.",audios_tcc/xtts_longas_narrativas_longas_narrativas_08.wav,OK
Piper,longas_narrativas,longas_narrativas_09,"Mesmo quando um modelo apresenta maior expressividade, isso não significa que ele seja automaticamente o mais adequado, já que latência e custo computacional podem limitar seu uso em cenários reais.",30,1.337,0.0667,"mesmo quando um modelo apresenta a maior expressividade, isso não significa que ele seja automaticamente mais adequado, já que latência e custo computacional podem limitar seu uso em cenários reais.",audios_tcc/piper_longas_narrativas_longas_narrativas_09.wav,OK
Kokoro,longas_narrativas,longas_narrativas_09,"Mesmo quando um modelo apresenta maior expressividade, isso não significa que ele seja automaticamente o mais adequado, já que latência e custo computacional podem limitar seu uso em cenários reais.",30,11.038,0.0333,"mesmo quando o modelo apresenta maior expressividade, isso não significa que ele seja automaticamente o mais adequado, já que latência e custo computacional podem limitar seu uso em cenários reais.",audios_tcc/kokoro_longas_narrativas_longas_narrativas_09.wav,OK
XTTS,longas_narrativas,longas_narrativas_09,"Mesmo quando um modelo apresenta maior expressividade, isso não significa que ele seja automaticamente o mais adequado, já que latência e custo computacional podem limitar seu uso em cenários reais.",30,70.142,0.0333,"mesmo quando o modelo apresenta maior expressividade, isso não significa que ele seja automaticamente o mais adequado, já que latência e custo computacional podem limitar seu uso em cenários reais.",audios_tcc/xtts_longas_narrativas_longas_narrativas_09.wav,OK
Piper,longas_narrativas,longas_narrativas_10,"A comparação sistemática entre alternativas abertas contribui para a democratização do acesso à tecnologia, sobretudo em projetos que buscam beneficiar usuários com diferentes perfis e restrições de infraestrutura.",28,1.431,0.1071,"a comparação sistemática entre alternativas abertas contribui para democratização do acesso à tecnologia, sobretudo em projetos que buscam beneficiar os usuários com diferentes perfis e restrições de infaestrutura.",audios_tcc/piper_longas_narrativas_longas_narrativas_10.wav,OK
Kokoro,longas_narrativas,longas_narrativas_10,"A comparação sistemática entre alternativas abertas contribui para a democratização do acesso à tecnologia, sobretudo em projetos que buscam beneficiar usuários com diferentes perfis e restrições de infraestrutura.",28,12.654,0.0357,"a comparação sistemática entre alternativas abertas contribui para democratização do acesso à tecnologia, sobretudo em projetos que buscam beneficiar usuários com diferentes perfis e restrições de infraestrutura.",audios_tcc/kokoro_longas_narrativas_longas_narrativas_10.wav,OK
XTTS,longas_narrativas,longas_narrativas_10,"A comparação sistemática entre alternativas abertas contribui para a democratização do acesso à tecnologia, sobretudo em projetos que buscam beneficiar usuários com diferentes perfis e restrições de infraestrutura.",28,70.248,0.0714,"a comparação sistemática entre alternativas abertas contribui para democratização do acesso à tecnologia, sobretudo, em projetos que buscam beneficiar usuários com diferentes perfis e restrições de infraestrutura.",audios_tcc/xtts_longas_narrativas_longas_narrativas_10.wav,OK
Piper,numeros_medidas_moedas,numeros_medidas_moedas_01,"O sensor registrou 3,5 metros de distância até a parede.",10,0.533,0.0,"o sensor registrou 3,5 metros de distância até a parede.",audios_tcc/piper_numeros_medidas_moedas_numeros_medidas_moedas_01.wav,OK
Kokoro,numeros_medidas_moedas,numeros_medidas_moedas_01,"O sensor registrou 3,5 metros de distância até a parede.",10,4.089,0.2,o sensor registrou três cinco metros de distância até a parede.,audios_tcc/kokoro_numeros_medidas_moedas_numeros_medidas_moedas_01.wav,OK
XTTS,numeros_medidas_moedas,numeros_medidas_moedas_01,"O sensor registrou 3,5 metros de distância até a parede.",10,24.249,0.0,"o sensor registrou 3,5 metros de distância até a parede.",audios_tcc/xtts_numeros_medidas_moedas_numeros_medidas_moedas_01.wav,OK
