Categoria,FraseID,Texto,NumPalavras
nomes_internacionais,nomes_internacionais_05,Jean Dupont conversou com Claire Bernard sobre o cronograma.,9
nomes_internacionais,nomes_internacionais_06,Luca Moretti encontrou Giulia Conti no laboratório.,7
nomes_internacionais,nomes_internacionais_07,Emily Watson recebeu o e-mail de Daniel Smith às nove horas.,11
nomes_internacionais,nomes_internacionais_08,Hans Müller discutiu o experimento com Greta Schneider.,8
nomes_internacionais,nomes_internacionais_09,Olivia Brown compartilhou os dados com William Harris.,8
nomes_internacionais,nomes_internacionais_10,Miguel Ángel preparou a apresentação com Lucía Fernández.,8
termos_tecnicos_academicos,termos_tecnicos_academicos_01,"O benchmark comparou latência, inteligibilidade e custo computacional dos modelos.",10
termos_tecnicos_academicos,termos_tecnicos_academicos_02,A inferência foi executada em ambiente Colab com dependências controladas por versão.,12
termos_tecnicos_academicos,termos_tecnicos_academicos_03,O pipeline de avaliação utilizou transcrição automática e cálculo de WER.,11
termos_tecnicos_academicos,termos_tecnicos_academicos_04,A arquitetura do sistema prioriza reprodutibilidade experimental e rastreabilidade dos dados.,11
termos_tecnicos_academicos,termos_tecnicos_academicos_05,Os resultados foram consolidados em DataFrame para análise estatística descritiva.,10
termos_tecnicos_academicos,termos_tecnicos_academicos_06,"A síntese neural de fala evoluiu com modelos baseados em atenção, difusão e transformers.",14
termos_tecnicos_academicos,termos_tecnicos_academicos_07,A metodologia contempla avaliação objetiva e interpretação qualitativa da naturalidade perceptiva.,11
termos_tecnicos_academicos,termos_tecnicos_academicos_08,A amostragem textual foi estratificada por categoria linguística e complexidade lexical.,11
termos_tecnicos_academicos,termos_tecnicos_academicos_09,A validação dos áudios considerou tanto métricas automáticas quanto escuta crítica humana.,12
termos_tecnicos_academicos,termos_tecnicos_academicos_10,"O estudo discute trade-offs entre expressividade, velocidade de geração e acessibilidade computacional.",12
regionalismos_e_girias,regionalismos_e_girias_01,"Oxente, esse áudio saiu melhor do que eu esperava.",9
regionalismos_e_girias,regionalismos_e_girias_02,"Uai, o modelo respondeu rapidinho nesse teste.",7
regionalismos_e_girias,regionalismos_e_girias_03,"Bah, essa voz ficou bem mais natural nessa frase.",9
regionalismos_e_girias,regionalismos_e_girias_04,"Eita, o processamento demorou mais do que no caso anterior.",10
regionalismos_e_girias,regionalismos_e_girias_05,"Tchê, vamos rodar de novo para confirmar o resultada.",9
regionalismos_e_girias,regionalismos_e_girias_06,"Esse notebook travou, mas depois voltou de boa.",8
regionalismos_e_girias,regionalismos_e_girias_07,"A saída ficou meio estranha, tipo robótica demais.",8
regionalismos_e_girias,regionalismos_e_girias_08,"Cara, esse modelo mandou bem nas frases curtas.",8
regionalismos_e_girias,regionalismos_e_girias_09,"Poxa, a entonação ficou legal, mas a latência subiu.",9
regionalismos_e_girias,regionalismos_e_girias_10,"Rapaz, esse exemplo com gíria ficou interessante para avaliação.",9
ingles_e_code_switching,ingles_e_code_switching_01,O download do checkpoint foi concluído com sucesso.,8
ingles_e_code_switching,ingles_e_code_switching_02,O script executou o benchmark e salvou o log final.,10
ingles_e_code_switching,ingles_e_code_switching_03,A equipe fez upload dos arquivos para o Google Drive.,10
ingles_e_code_switching,ingles_e_code_switching_04,O dataset foi processado antes da etapa de inference.,9
ingles_e_code_switching,ingles_e_code_switching_05,O modelo entrou em fallback quando a GPU ficou indisponível.,10
ingles_e_code_switching,ingles_e_code_switching_06,A versão do notebook está no branch principal do repositório.,10
ingles_e_code_switching,ingles_e_code_switching_07,O prompt foi ajustado para melhorar o output de áudio.,10
ingles_e_code_switching,ingles_e_code_switching_08,O pipeline usa cache local para evitar novo download do modelo.,11
ingles_e_code_switching,ingles_e_code_switching_09,O framework permite testing automatizado das frases do corpus.,9
ingles_e_code_switching,ingles_e_code_switching_10,A validação final combinou listening test e métricas automáticas.,9
siglas_e_abreviacoes,siglas_e_abreviacoes_01,O CPF do aluno foi validado antes do cadastro.,9
siglas_e_abreviacoes,siglas_e_abreviacoes_02,A API retornou erro ao consultar o CNPJ da empresa.,10
siglas_e_abreviacoes,siglas_e_abreviacoes_03,O SUS ainda é referência nacional em políticas públicas de saúde.,11
siglas_e_abreviacoes,siglas_e_abreviacoes_04,A ONU publicou um novo relatório sobre inclusão digital.,9
siglas_e_abreviacoes,siglas_e_abreviacoes_05,O TCC utiliza métricas de TTS e ASR no mesmo pipeline.,11
siglas_e_abreviacoes,siglas_e_abreviacoes_06,"A GPU ficou indisponível, então a execução ocorreu em CPU.",10
siglas_e_abreviacoes,siglas_e_abreviacoes_07,A UFMG recebeu o arquivo enviado pela equipe do projeto.,10
siglas_e_abreviacoes,siglas_e_abreviacoes_08,A URL da documentação foi registrada no PDF final.,9
siglas_e_abreviacoes,siglas_e_abreviacoes_09,A IA generativa exige cuidado com avaliação e reprodutibilidade.,9
siglas_e_abreviacoes,siglas_e_abreviacoes_10,O sistema consulta dados do CEP antes de preencher o formulário.,11
pontuacao_e_pausas,pontuacao_e_pausas_01,"Se o teste falhar, execute novamente a célula.",8
pontuacao_e_pausas,pontuacao_e_pausas_02,"O modelo foi carregado; em seguida, iniciou-se a geração do áudio.",11
pontuacao_e_pausas,pontuacao_e_pausas_03,"Há três critérios principais: latência, inteligibilidade e naturalidade.",8
pontuacao_e_pausas,pontuacao_e_pausas_04,"O resultado, embora promissor, ainda exige validação adicional.",8
pontuacao_e_pausas,pontuacao_e_pausas_05,"Maria disse: a voz ficou clara, mas lenta.",8
pontuacao_e_pausas,pontuacao_e_pausas_06,"O experimento inclui frases curtas, médias e longas.",8
pontuacao_e_pausas,pontuacao_e_pausas_07,"Quando o download terminar, inicie a próxima etapa.",8
pontuacao_e_pausas,pontuacao_e_pausas_08,"O benchmark, como planejado, foi executado em ambiente controlado.",9
pontuacao_e_pausas,pontuacao_e_pausas_09,"Os dados coletados, depois de revisados, foram exportados para análise.",10
pontuacao_e_pausas,pontuacao_e_pausas_10,"A banca avaliará o código, os áudios e a metodologia.",10
interrogativas_e_exclamativas,interrogativas_e_exclamativas_01,Você conseguiu ouvir claramente a frase sintetizada?,7
interrogativas_e_exclamativas,interrogativas_e_exclamativas_02,Qual modelo apresentou a menor latência neste teste?,8
interrogativas_e_exclamativas,interrogativas_e_exclamativas_03,Será que a voz ficou natural o suficiente para leitura contínua?,11
interrogativas_e_exclamativas,interrogativas_e_exclamativas_04,Como o sistema reage quando encontra palavras em inglês?,9
interrogativas_e_exclamativas,interrogativas_e_exclamativas_05,Por que esse áudio parece mais robótico do que o anterior?,11
interrogativas_e_exclamativas,interrogativas_e_exclamativas_06,Que diferença grande de tempo entre os modelos!,8
interrogativas_e_exclamativas,interrogativas_e_exclamativas_07,"Nossa, essa entonação ficou muito melhor!",6
interrogativas_e_exclamativas,interrogativas_e_exclamativas_08,Será que a banca vai preferir o modelo mais rápido?,10
interrogativas_e_exclamativas,interrogativas_e_exclamativas_09,Como explicar esse resultado sem considerar o custo computacional?,9
interrogativas_e_exclamativas,interrogativas_e_exclamativas_10,"Incrível, o áudio foi gerado em poucos segundos!",8
enderecos_urls_emails,enderecos_urls_emails_01,O site oficial do projeto está em www.exemplo.org.,8
enderecos_urls_emails,enderecos_urls_emails_02,Envie a documentação para contato@laboratorio.edu.br.,5
enderecos_urls_emails,enderecos_urls_emails_03,"O endereço informado foi Rua das Flores, número 125, sala 4.",11
enderecos_urls_emails,enderecos_urls_emails_04,"A reunião será no campus central, bloco B, terceiro andar.",10
enderecos_urls_emails,enderecos_urls_emails_05,A página de referência está disponível em https://dados.gov.br.,8
enderecos_urls_emails,enderecos_urls_emails_06,O suporte técnico pode ser acionado pelo e-mail suporte@teste.com.,9
enderecos_urls_emails,enderecos_urls_emails_07,"O laboratório fica na Avenida Brasil, número 900, em Belo Horizonte.",11
enderecos_urls_emails,enderecos_urls_emails_08,O formulário pode ser acessado em portal.exemplo.com.br/login.,7
enderecos_urls_emails,enderecos_urls_emails_09,O arquivo foi enviado para pesquisa.tcc@universidade.br ontem à noite.,9
enderecos_urls_emails,enderecos_urls_emails_10,"O evento ocorrerá na Praça Sete, centro da cidade, próximo ao auditório principal.",13
